Sort order,Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Latitude_masked,Longitude_masked,Neighborhood,
2546,Cooper,Labrador Retriever,"(42.3823095, -71.12248068)","42.3823095,",42.3823095,-71.12248068,Neighborhood Nine,
4238,Wallace,Border Collie,"(42.3821943, -71.13452429)","42.3821943,",42.3821943,-71.13452429,West Cambridge,
2329,Fyodor,Miniature Schnauzer,"(42.3821707, -71.11540276)","42.3821707,",42.3821707,-71.11540276,Agassiz,
2885,Lovie,Shih Tzu,"(42.3820194, -71.11272923)","42.3820194,",42.3820194,-71.11272923,Agassiz,
698,Julie,Toy Poodle,"(42.3820169, -71.1282108)","42.3820169,",42.3820169,-71.1282108,West Cambridge,
728,Lady,Labrador Retriever,"(42.3819228, -71.13539734)","42.3819228,",42.3819228,-71.13539734,West Cambridge,
282,Bernadette,Terrier,"(42.3818164, -71.1281366)","42.3818164,",42.3818164,-71.1281366,West Cambridge,
687,Gracie,Mix,"(42.3818019, -71.13950408)","42.3818019,",42.3818019,-71.13950408,West Cambridge,
1294,Theo,Black Lab Miix,"(42.3817713, -71.11955572)","42.3817713,",42.3817713,-71.11955572,Neighborhood Nine,
909,Katy,Jack Russel Terrier,"(42.3815849, -71.13291187)","42.3815849,",42.3815849,-71.13291187,West Cambridge,
1002,Arthur,Belgian Mix,"(42.3815599, -71.12566377)","42.3815599,",42.3815599,-71.12566377,Neighborhood Nine,
4785,Thomas Jefferson,Minature Poodle,"(42.3814548, -71.1527385)","42.3814548,",42.3814548,-71.1527385,Strawberry Hill,
2353,Mulligan,,"(42.3813572, -71.13867777)","42.3813572,",42.3813572,-71.13867777,West Cambridge,
196,Sisu,Yorkie Poo,"(42.3813463, -71.11939332)","42.3813463,",42.3813463,-71.11939332,Agassiz,
